iter	Logloss
0	0.6243660558
1	0.5741734683
2	0.5303672538
3	0.4938241866
4	0.4643862068
5	0.4331112326
6	0.4105042764
7	0.390936796
8	0.3743040727
9	0.358684389
10	0.3458102726
11	0.3317862762
12	0.3196895567
13	0.3085522294
14	0.3013169474
15	0.291947384
16	0.285057816
17	0.2781947732
18	0.2722014979
19	0.2667851388
20	0.26068154
21	0.2561057129
22	0.2525927463
23	0.2478269535
24	0.2444701522
25	0.2415951866
26	0.2358817795
27	0.2299631514
28	0.2272061539
29	0.2234319078
30	0.2199407757
31	0.2172391952
32	0.2143346559
33	0.2122408496
34	0.2106402651
35	0.2092546864
36	0.2072380676
37	0.2040963908
38	0.2026802546
39	0.2009889746
40	0.1996367153
41	0.1982024404
42	0.1956637468
43	0.1947153327
44	0.1919253213
45	0.1903032915
46	0.1890935238
47	0.1879166121
48	0.1861340536
49	0.1848615162
50	0.1838242074
51	0.1817196538
52	0.1803131291
53	0.1789915282
54	0.1773982377
55	0.1756742633
56	0.1748825379
57	0.1734361888
58	0.1721995196
59	0.1700601926
60	0.1692986299
61	0.1674502058
62	0.166404593
63	0.1655574551
64	0.1648578554
65	0.1642957568
66	0.1638532168
67	0.1633251876
68	0.1617616029
69	0.160224564
70	0.1597322689
71	0.1593756308
72	0.1587451753
73	0.158253547
74	0.1575258945
75	0.1567842636
76	0.1555884309
77	0.1548926097
78	0.1537767283
79	0.1529400858
80	0.1517472113
81	0.1513702073
82	0.1495789665
83	0.1489168462
84	0.1485133427
85	0.1477610937
86	0.1470623775
87	0.1466035458
88	0.1457346038
89	0.1450408811
90	0.1445373993
91	0.1440892734
92	0.1429256656
93	0.1423031716
94	0.1416728484
95	0.1413371362
96	0.1410988762
97	0.140612132
98	0.1398594423
99	0.1393832846
100	0.1389949648
101	0.1380058396
102	0.1371019754
103	0.1368344417
104	0.1365533759
105	0.1360702496
106	0.1358441066
107	0.1355002386
108	0.1349998056
109	0.1347881906
110	0.134576969
111	0.1343464837
112	0.1338954914
113	0.1335210306
114	0.1330563315
115	0.1324741774
116	0.1320295587
117	0.1315939394
